Time (s)	Voltage	Current
0	4.11484455	0.00848476941
8.242000102996826	3.97813412	0.708870706
15.361000061035156	3.97543414	0.708864897
22.48099994659424	3.97346137	0.708831782
29.602999925613403	3.97141775	0.708840497
36.723000049591064	3.96985892	0.70884282
43.84100008010864	3.96831128	0.708820163
50.960999965667725	3.96712538	0.708833525
58.08899998664856	3.96605882	0.708839335
65.20300006866455	3.9651377	0.708826554
72.32200002670288	3.96420911	0.708797506
79.44199991226196	3.9634036	0.708788211
86.56100010871887	3.96247501	0.708805058
93.68099999427795	3.96161356	0.708784144
100.80099987983704	3.96078939	0.708803316
107.92499995231628	3.96013678	0.708780077
115.04399991035461	3.95945432	0.708801573
122.16199994087219	3.95881662	0.708782982
129.28099989891052	3.95818265	0.708751611
136.40100002288818	3.9575636	0.708746963
143.52300000190735	3.95695946	0.708791697
150.64199995994568	3.9563777	0.708753935
157.760999917984	3.95586679	0.708789954
164.88100004196167	3.95540436	0.708769039
172.00099992752075	3.95496058	0.708755677
179.125	3.95462868	0.708765554
186.24200010299683	3.95406929	0.708748706
193.3619999885559	3.95366653	0.708744058
200.48300004005432	3.9532153	0.708773687
207.60199999809265	3.95283118	0.708771944
214.72300004959106	3.95239486	0.708736506
221.84299993515015	3.9520555	0.708748125
228.9630000591278	3.95169376	0.708729534
236.08200001716614	3.95129473	0.708755677
243.20199990272522	3.95086214	0.708740573
250.32699990272522	3.95051905	0.708728373
257.4430000782013	3.95009765	0.708739411
264.5620000362396	3.9498366	0.708731858
271.6819999217987	3.94947486	0.708703973
278.80200004577637	3.94909075	0.708739992
285.92199993133545	3.94868799	0.708716173
293.0420000553131	3.94836728	0.708717334
300.1619999408722	3.94802418	0.708670858
307.2809998989105	3.94765499	0.708720239
314.40899991989136	3.94730071	0.708695839
321.5239999294281	3.94706577	0.708727792
328.6489999294281	3.94671149	0.708699906
335.7630000114441	3.94643553	0.708701068
342.8840000629425	3.94617448	0.708730696
350.00300002098083	3.94583512	0.708689449
357.1229999065399	3.94554051	0.708723725
364.2420001029968	3.94523098	0.708693515
371.36299991607666	3.94496993	0.708706296
378.481999874115	3.94467159	0.708732439
385.60199999809265	3.9443919	0.708707458
392.72199988365173	3.94415696	0.708674925
399.84500002861023	3.94388472	0.708697001
406.9619998931885	3.94363113	0.708674925
414.08200001716614	3.94336636	0.708692934
421.2019999027252	3.94302327	0.708661563
428.3220000267029	3.94284799	0.708724306
435.44000005722046	3.94257949	0.70867783
442.5610001087189	3.94225504	0.708667372
449.6800000667572	3.94206858	0.708686544
456.80099987983704	3.94180007	0.708662144
463.9210000038147	3.94157632	0.708701649
471.04500007629395	3.94127425	0.70870223
478.164999961853	3.94103931	0.708632515
485.2809998989105	3.94081928	0.708678411
492.4010000228882	3.94056942	0.708663306
499.52099990844727	3.9403121	0.708656334
506.6419999599457	3.9400697	0.708656915
513.7620000839233	3.9398907	0.708643553
520.8810000419617	3.93963338	0.708644134
528.0009999275208	3.93933877	0.708646458
535.1199998855591	3.93920079	0.708664468
542.2420001029968	3.9388838	0.708654591
549.3599998950958	3.93874955	0.708665049
556.4800000190735	3.93843256	0.708667953
563.5999999046326	3.93820135	0.708681896
570.7190001010895	3.93799997	0.708648782
577.8429999351501	3.93776876	0.70865401
584.9579999446869	3.93755619	0.708667372
592.0820000171661	3.93729514	0.708639487
599.2030000686646	3.93711241	0.708680153
606.316999912262	3.9369073	0.708647039
613.4370000362396	3.93664998	0.708678992
620.5569999217987	3.93644488	0.708650525
627.6819999217987	3.93622112	0.70864762
634.7969999313354	3.93601601	0.708637744
641.9189999103546	3.93582582	0.708638906
649.0420000553131	3.93560207	0.708640068
656.1630001068115	3.93534475	0.708664468
663.2769999504089	3.93522168	0.708639487
670.3970000743866	3.93497182	0.708677249
677.5150001049042	3.93474434	0.708651106
684.635999917984	3.93452804	0.708645296
691.7560000419617	3.93431548	0.708631353
698.8789999485016	3.9341141	0.708667953
705.9979999065399	3.93386797	0.708637744
713.1180000305176	3.93362929	0.708658077
720.2369999885559	3.93349131	0.708665049
727.356999874115	3.93324518	0.708667372
734.4769999980927	3.93301397	0.708644715
741.5999999046326	3.93279394	0.708633677
748.720999956131	3.93265969	0.708646458
755.8429999351501	3.93244339	0.708649363
762.9630000591278	3.93220845	0.708632515
770.0769999027252	3.93201453	0.708617991
777.1960000991821	3.93186536	0.708651687
784.319000005722	3.93157448	0.708612182
791.4370000362396	3.93136191	0.70862322
798.5569999217987	3.93119783	0.708588944
805.6770000457764	3.93097034	0.708634258
812.7960000038147	3.93075405	0.708644715
819.9159998893738	3.93060488	0.708580229
827.0360000133514	3.93035129	0.708601725
834.1549999713898	3.93019093	0.708594172
841.2760000228882	3.92996345	0.708630191
848.3940000534058	3.9297658	0.708615668
855.5139999389648	3.92953085	0.708605791
862.6340000629425	3.9293705	0.708587782
869.7539999485016	3.92914301	0.708636582
876.8740000724792	3.92898638	0.708600563
883.9939999580383	3.92874398	0.708609277
891.1099998950958	3.92859481	0.708638325
898.2300000190735	3.92833749	0.708601144
905.3489999771118	3.92821816	0.708630772
912.4639999866486	3.9279944	0.708637163
919.5820000171661	3.92777811	0.708594172
926.6989998817444	3.92758419	0.708615087
933.8129999637604	3.92737908	0.708615087
940.9370000362396	3.92716278	0.708604629
948.0520000457764	3.92690173	0.708623801
955.1770000457764	3.9267824	0.708596496
962.2920000553131	3.92657356	0.708605791
969.4119999408722	3.9264132	0.708601144
976.5309998989105	3.92614097	0.708595915
983.654000043869	3.92593213	0.708642972
990.7709999084473	3.92570838	0.708609858
997.8900001049042	3.92555921	0.708602887
1005.010999917984	3.92530562	0.70862961
1012.1299998760223	3.92508186	0.708597077
1019.2539999485016	3.92492896	0.708613344
1026.3710000514984	3.92474996	0.708608115
1033.4900000095367	3.92452248	0.708620896
1040.6110000610352	3.92433228	0.708605791
1047.733999967575	3.92415328	0.708590687
1054.851000070572	3.92395936	0.708609858
1061.9700000286102	3.92378781	0.708600563
1069.0910000801086	3.92355287	0.708621477
1076.2089998722076	3.92334776	0.708612763
1083.3289999961853	3.9231352	0.708620315
1090.4479999542236	3.92299348	0.708639487
1097.569000005722	3.92278465	0.708600563
1104.6879999637604	3.92255343	0.708599982
1111.8090000152588	3.92235205	0.708573258
1118.9279999732971	3.92212084	0.708613925
1126.0480000972748	3.92193438	0.708587782
1133.167000055313	3.92170317	0.708616829
1140.2880001068115	3.9215167	0.708608115
1147.4070000648499	3.92131905	0.70859301
1154.5260000228882	3.92115124	0.708640649
1161.6459999084473	3.92090138	0.708572096
1168.7709999084473	3.92068881	0.708630191
