Time (s)	Current
0.06599998474121094	2.246022e-08
0.17199993133544922	-2.126166e-08
0.2779998779296875	-6.793553e-09
0.3819999694824219	1.33156e-08
0.4889998435974121	-1.043333e-08
0.5939998626708984	-2.622085e-08
0.7000000476837158	2.05949e-08
0.8059999942779541	3.943499e-09
0.9119999408721924	-2.071569e-08
1.0179998874664307	5.672333e-09
1.123999834060669	2.182328e-08
1.2289998531341553	-2.158014e-08
1.3350000381469727	-8.840927e-09
1.4399998188018799	1.64548e-08
1.5460000038146973	-6.839051e-09
1.6519999504089355	-2.622085e-08
1.7579998970031738	1.927553e-08
1.863999843597412	6.582245e-09
1.9689998626708984	-1.885031e-08
2.0769999027252197	3.852507e-09
2.182999849319458	2.232374e-08
2.2869999408721924	-2.012423e-08
2.3929998874664307	-7.112034e-09
2.498999834060669	1.399803e-08
2.6529998779296875	-0.01262002
2.760999917984009	-0.0127038
2.866999864578247	-0.01278049
2.9719998836517334	-0.01282156
3.0779998302459717	-0.01288014
3.184000015258789	-0.01293944
3.2890000343322754	-0.01300051
3.3949999809265137	-0.01306101
3.500999927520752	-0.01318083
3.6069998741149902	-0.01329027
3.7129998207092285	-0.01332487
3.819999933242798	-0.01328189
3.927000045776367	-0.01325855
4.0329999923706055	-0.007702682
4.139999866485596	-0.007659045
4.244999885559082	-0.00772996
4.349999904632568	-0.007756771
4.454999923706055	-0.00774618
4.560999870300293	-0.007761762
4.666999816894531	-0.007778171
4.771999835968018	-0.007755949
4.878999948501587	-0.007751009
4.985999822616577	-0.007776766
5.0909998416900635	-0.007757552
5.19599986076355	-0.007720371
5.302000045776367	-0.007752474
5.4079999923706055	-0.007748541
5.514999866485596	-0.009786253
5.61899995803833	-0.01340466
5.724999904632568	-0.0134264
5.830999851226807	-0.01339371
5.938999891281128	-0.01339114
6.044999837875366	-0.01342255
6.151000022888184	-0.01340797
6.256999969482422	-0.01337636
6.361999988555908	-0.01342102
6.4670000076293945	-0.0134255
6.573999881744385	-0.01338606
6.678999900817871	-0.01339495
6.783999919891357	-0.01342242
6.891000032424927	-0.0133992
6.998999834060669	-0.01339304
7.102999925613403	-0.007750112
7.208999872207642	-0.007744304
7.313999891281128	-0.007702266
7.419999837875366	-0.009458377
7.526000022888184	-0.01932022
7.632999897003174	-0.01464377
7.73799991607666	-0.0126787
7.843999862670898	-0.01268411
7.950000047683716	-0.01283924
8.057999849319458	-0.01265888
8.162999868392944	-0.01267796
8.268999814987183	-0.01267797
8.375999927520752	-0.01267028
8.48199987411499	-0.01272261
8.587999820709229	-0.01574471
8.692999839782715	-0.0126771
8.799000024795532	-0.01279381
8.90499997138977	-0.01280557
9.013000011444092	-0.01286225
9.118000030517578	-0.01287988
9.222999811172485	-0.01286789
9.328999996185303	-0.01289336
9.434999942779541	-0.01283913
9.54099988937378	-0.01452274
9.646999835968018	-0.0126842
9.753000020980835	-0.01245739
9.858000040054321	-0.01244342
9.962999820709229	-0.01244801
