Time (s)	Voltage	Current
0	4.17051474	0.00856351816
7.73199987411499	4.05796236	0.688817598
15.292999982833862	4.05347608	0.688803076
22.853999853134155	4.05000042	0.688757184
30.41599988937378	4.046976	0.688805399
37.9779999256134	4.04444011	0.688778097
45.54099988937378	4.0420795	0.688762993
53.1029999256134	4.03992027	0.688756022
60.66599988937378	4.03799225	0.688761251
68.22499990463257	4.03610525	0.68877403
75.78699994087219	4.03440098	0.688786229
83.34799981117249	4.03274893	0.68876067
90.9079999923706	4.03117519	0.688743243
98.47399997711182	4.02970959	0.68874789
106.03600001335144	4.02827383	0.68876067
113.59699988365173	4.02690147	0.688725816
121.15899991989136	4.02558878	0.688729301
128.7279999256134	4.02432456	0.688746728
136.28799986839294	4.02314239	0.688761251
143.84899997711182	4.02193784	0.688714197
151.4079999923706	4.02076313	0.688742662
158.97399997711182	4.01964809	0.688700837
166.5369999408722	4.01859644	0.688734529
174.09899997711182	4.0175075	0.688715359
181.6619999408722	4.01649314	0.688745566
189.22899985313416	4.01546387	0.688723492
196.7889997959137	4.01446443	0.688712455
204.35099983215332	4.01349483	0.688691542
211.9119999408722	4.0126744	0.688713036
219.47699999809265	4.01166377	0.688708969
227.0369999408722	4.01076502	0.688695609
234.60099983215332	4.00991475	0.688688638
242.16299986839294	4.00906076	0.68866424
249.72599983215332	4.00820676	0.688698513
257.2869999408722	4.00738633	0.688677601
264.8489999771118	4.00659572	0.688689219
272.41100001335144	4.00584242	0.688665402
279.9759998321533	4.00499961	0.688663078
287.5369999408722	4.0042202	0.688686895
295.09699988365173	4.00355639	0.688653203
302.6619999408722	4.00275833	0.688662497
310.2259998321533	4.0020274	0.688649717
317.78799986839294	4.00135613	0.688678762
325.34999990463257	4.00067741	0.68867063
332.9119999408722	3.99998004	0.688668887
340.4729998111725	3.99925284	0.688636357
348.0369999408722	3.99863006	0.688636937
355.5989999771118	3.99793642	0.688646813
363.16100001335144	3.99739195	0.688664821
370.7229998111725	3.99672814	0.688671792
378.28399991989136	3.9961874	0.688646813
385.84500002861023	3.99553851	0.688636937
393.4059998989105	3.99496794	0.688669468
400.96799993515015	3.99432278	0.688662497
408.5309998989105	3.99377458	0.688615444
416.0939998626709	3.99318909	0.688652041
423.65499997138977	3.99266326	0.688654945
431.21399998664856	3.99211133	0.688642746
438.77499985694885	3.99157805	0.688657269
446.33799982070923	3.99102612	0.688636937
453.89999985694885	3.99048538	0.688662497
461.4609999656677	3.98994091	0.688663659
469.021999835968	3.98944119	0.688644489
476.5849997997284	3.98896758	0.688625319
484.14599990844727	3.98849023	0.68864507
491.7079999446869	3.98801289	0.68865146
499.2699999809265	3.9875169	0.688648555
506.83200001716614	3.9870321	0.688665402
514.3910000324249	3.98658086	0.688654365
521.954999923706	3.98608487	0.688662497
529.5189998149872	3.98567465	0.688650298
537.0789999961853	3.98517866	0.688660754
544.6410000324249	3.98478709	0.688655526
552.2019999027252	3.98430229	0.688631128
559.7639999389648	3.98385851	0.688620091
567.3259999752045	3.98347067	0.688641004
574.8880000114441	3.98299706	0.688616606
582.4499998092651	3.98260921	0.688642746
590.0130000114441	3.98221391	0.688647394
597.5749998092651	3.9818037	0.688649136
605.1369998455048	3.98143077	0.688633452
612.6970000267029	3.98110633	0.688627643
620.2669999599457	3.98059915	0.68865146
627.827999830246	3.98024487	0.688658431
635.3899998664856	3.97987568	0.68863868
642.9519999027252	3.97948783	0.688652622
650.5160000324249	3.97911864	0.688666563
658.0769999027252	3.97872334	0.688613701
665.6389999389648	3.97839144	0.688631709
673.2019999027252	3.97802597	0.688626481
680.7630000114441	3.97769034	0.688639261
688.3259999752045	3.97727639	0.688648555
695.8880000114441	3.97694822	0.688641585
703.4499998092651	3.97659021	0.688635776
711.0119998455048	3.97627322	0.688611378
718.5749998092651	3.97592268	0.688635776
726.1369998455048	3.97559077	0.688643908
733.6999998092651	3.97529243	0.688626481
741.260999917984	3.97493443	0.688623577
748.8239998817444	3.97469202	0.688639261
756.3849999904633	3.97429672	0.688645651
763.9470000267029	3.97400957	0.68863868
771.5079998970032	3.97362919	0.688614282
779.0699999332428	3.97340543	0.688652041
786.6319999694824	3.97311082	0.688622996
794.191999912262	3.972764	0.688618929
801.7530000209808	3.97245448	0.688644489
809.3149998188019	3.97218597	0.688627643
816.8769998550415	3.9718578	0.688624738
824.4379999637604	3.9716154	0.688633452
832.0	3.97129095	0.688640423
839.5629999637604	3.97100753	0.68861951
847.1229999065399	3.97076513	0.68863868
854.6819999217987	3.97046679	0.688620091
862.2449998855591	3.97016472	0.688626481
869.8069999217987	3.96991859	0.688604988
877.3739998340607	3.96963517	0.688630548
884.936999797821	3.96934429	0.6886259
892.4989998340607	3.96910561	0.68861254
900.055999994278	3.968811	0.688629967
907.6169998645782	3.96856487	0.688631709
915.1799998283386	3.96830383	0.688616025
922.7409999370575	3.96807634	0.68861951
930.3039999008179	3.96780411	0.688611959
937.8639998435974	3.96752814	0.688603245
945.425999879837	3.96728201	0.688610216
952.9889998435974	3.96708436	0.688599179
