Time (s)	Voltage	Current
0	4.16765814	0.00854667199
7.566999912261963	4.03460609	0.608737304
15.13099980354309	4.03104466	0.608750665
22.69599986076355	4.0287288	0.608758217
30.257999897003174	4.02683434	0.608722201
37.81599998474121	4.02503312	0.608722201
45.37999987602234	4.02359736	0.608705355
52.937999963760376	4.02223245	0.608724525
60.502999782562256	4.02088993	0.608725106
68.06199979782104	4.01955858	0.60869606
75.63099980354309	4.01830556	0.608700708
83.19599986076355	4.01696676	0.608701869
90.76399993896484	4.01566525	0.608712326
98.32799983024597	4.01445698	0.608724525
105.89099979400635	4.01347618	0.608694899
113.45499992370605	4.0123052	0.608725106
121.0149998664856	4.0112722	0.608725106
128.57399988174438	4.01023174	0.608686185
136.13399982452393	4.00926214	0.608683861
143.70299983024597	4.00829999	0.608675729
151.2649998664856	4.00736395	0.608678052
158.8309998512268	4.00652114	0.608686766
166.3949999809265	4.00571562	0.608676891
173.95499992370605	4.00483179	0.608679214
181.51399993896484	4.00401882	0.608679214
189.07499980926514	4.00323567	0.608643779
196.64099979400635	4.00248982	0.608667015
204.20499992370605	4.00164702	0.608679795
211.76899981498718	4.00086387	0.608672824
219.33599996566772	4.0001143	0.608670501
226.90199995040894	3.99930505	0.60868909
234.4579999446869	3.99851818	0.608672824
242.0149998664856	3.99773504	0.608640875
249.5789999961853	3.9970041	0.608698384
257.14299988746643	3.996124	0.6086827
264.7099997997284	3.99543409	0.608667015
272.27999997138977	3.99475537	0.608653074
279.84499979019165	3.994058	0.60866353
287.4119999408722	3.99345013	0.60865075
294.9779999256134	3.99277887	0.608665854
302.5349998474121	3.99220456	0.608619962
310.0939998626709	3.99157432	0.60865075
317.65399980545044	3.9909851	0.608639132
325.2189998626709	3.99039961	0.608624029
332.77699995040894	3.98992227	0.608655978
340.34499979019165	3.98928084	0.608639713
347.90399980545044	3.9887028	0.608639713
355.46599984169006	3.98811358	0.608659464
363.0349998474121	3.98753928	0.608651331
370.5919997692108	3.98697243	0.608632742
378.15399980545044	3.98638321	0.60859905
385.7109999656677	3.98586485	0.608647265
393.27999997138977	3.98523833	0.608643779
400.83899998664856	3.98467149	0.608644941
408.40199995040894	3.98414566	0.608662368
415.96299982070923	3.98359373	0.60862519
423.52300000190735	3.9831052	0.608628095
431.08799982070923	3.9824414	0.60865075
438.6489999294281	3.98196032	0.608611249
446.21299982070923	3.98139721	0.608629838
453.77300000190735	3.98089749	0.608648426
461.33899998664856	3.98037912	0.608647265
468.90499997138977	3.97993907	0.608636808
476.4649999141693	3.97940579	0.608611249
484.03399991989136	3.97886878	0.608651912
491.59299993515015	3.97836906	0.608634485
499.1529998779297	3.9779402	0.608630418
506.7189998626709	3.97750388	0.60864436
514.2889997959137	3.97701534	0.608614153
521.8509998321533	3.97655292	0.608613572
529.4179999828339	3.97609049	0.608603697
536.9809999465942	3.97558704	0.608610668
544.537999868393	3.97517683	0.608646103
552.0989999771118	3.97472932	0.608617639
559.6579999923706	3.97425197	0.608628095
567.220999956131	3.97380446	0.608622286
574.7849998474121	3.97338306	0.608619381
582.3449997901917	3.97296911	0.608635647
589.9039998054504	3.97257381	0.608625771
597.4639999866486	3.97207036	0.608611249
605.0239999294281	3.97173473	0.608588013
612.5849997997284	3.97129841	0.608600792
620.1529998779297	3.97092549	0.608608344
627.7149999141693	3.97050035	0.608647846
635.2799999713898	3.97007522	0.608615896
642.845999956131	3.96966873	0.608607763
650.4059998989105	3.96929208	0.608578718
657.9639999866486	3.96887813	0.608584527
665.5239999294281	3.96846418	0.608614734
673.0839998722076	3.9681472	0.608589755
680.6429998874664	3.96775936	0.608602535
688.2059998512268	3.96734541	0.60861183
695.7639999389648	3.96697994	0.608596726
703.327999830246	3.96663685	0.608589174
710.896999835968	3.96632733	0.608592079
718.4679999351501	3.96594694	0.608582784
726.0279998779297	3.96555164	0.608628095
733.5849997997284	3.96523466	0.608590336
741.1439998149872	3.96485054	0.608607182
748.7079999446869	3.96449627	0.608598469
756.2709999084473	3.96416063	0.608619381
763.8319997787476	3.96378398	0.608575814
771.3959999084473	3.9634297	0.608607182
778.9609999656677	3.96313882	0.608562453
786.5189998149872	3.96281065	0.608587432
794.0769999027252	3.96244518	0.608574071
801.6399998664856	3.9620909	0.608591498
809.2009999752045	3.96174781	0.608594403
816.7699999809265	3.96141218	0.60859905
824.3319997787476	3.96109519	0.60856071
831.8899998664856	3.9607521	0.608586851
839.4539999961853	3.96056191	0.608569424
847.0139999389648	3.96023374	0.608584527
854.5849997997284	3.95996896	0.608586851
862.1449999809265	3.95968181	0.608546188
869.7109999656677	3.95937974	0.608594403
877.2709999084473	3.95912242	0.608574071
884.8359999656677	3.95882781	0.608571166
892.4049999713898	3.95851083	0.608598469
899.9689998626709	3.95827588	0.60861822
907.5409998893738	3.957985	0.608579299
915.1089999675751	3.95767547	0.608612991
922.6729998588562	3.95744053	0.608549092
930.2369999885559	3.95712727	0.608561291
937.8029999732971	3.95687742	0.608571166
945.3669998645782	3.95657162	0.608566519
952.9299998283386	3.95631057	0.608583946
960.4899997711182	3.95601223	0.608558387
968.048999786377	3.95577729	0.608570005
975.6059999465942	3.9555237	0.608563615
983.1699998378754	3.95525892	0.608556063
990.731999874115	3.95497177	0.608588013
998.3049998283386	3.95470326	0.608599631
1005.8629999160767	3.95444968	0.608557806
1013.4249999523163	3.95415507	0.608574652
1020.9869999885559	3.95386418	0.608562453
1028.5529999732971	3.9536106	0.608580461
1036.1209998130798	3.95335701	0.608576975
1043.6779999732971	3.95312206	0.608581042
