Time (s)	Voltage	Current
15039.655000209808	2.79729816	0.00574207544
15046.338000059128	2.79733918	0.00572987649
15053.029000043869	2.79743241	0.00575485529
15059.715000152588	2.79748835	0.00575136988
15066.400000095367	2.79758904	0.00575427439
15073.086000204086	2.79760023	0.00573045739
15079.770000219345	2.79767108	0.00575136988
15086.455000162125	2.79770465	0.0057310383
15093.139000177383	2.79773821	0.00574614176
15099.824000120163	2.79782398	0.00572116296
15106.509000062943	2.79789111	0.0057310383
15113.199000120163	2.79793213	0.00576937785
15119.884999990463	2.79800299	0.00572406747
15126.569000005722	2.7980552	0.00576414973
15133.25400018692	2.79808503	0.00575078898
15139.938000202179	2.79808503	0.00574091364
15146.623000144958	2.79820437	0.00574497995
15153.307000160217	2.79825285	0.00575485529
15159.992000102997	2.79833489	0.00574672266
15166.677000045776	2.7983871	0.00573510461
15173.367000102997	2.79839829	0.005756598
15180.052000045776	2.79847287	0.00577692958
15186.736000061035	2.79849898	0.00575136988
15193.421000003815	2.79855864	0.0057066404
15200.105000019073	2.79863696	0.00576414973
15206.791000127792	2.79863323	0.00574904627
15213.475000143051	2.79878613	0.00571012581
15220.16200017929	2.79875256	0.00576531154
15226.84500002861	2.79883461	0.00572639108
15233.53500008583	2.79886071	0.00574962717
15240.22000002861	2.79894276	0.00576356883
15246.904000043869	2.79896886	0.00572639108
15253.589000225067	2.79900242	0.0057554362
15260.272000074387	2.7990509	0.00573684732
15266.958000183105	2.79912922	0.00575136988
15273.643000125885	2.79912549	0.00575834071
15280.328000068665	2.7992038	0.00576008341
15287.012000083923	2.79923737	0.00576182612
15293.703000068665	2.7993306	0.00575136988
15300.388000011444	2.79931568	0.005732781
15307.072000026703	2.79939772	0.00573452371
15313.759000062943	2.79943502	0.00578854763
15320.443000078201	2.79946858	0.00577053966
15327.12800002098	2.7995096	0.005732781
15333.813000202179	2.79959537	0.00574149454
15340.497000217438	2.79962521	0.00573510461
15347.182000160217	2.7996625	0.00576531154
15353.867000102997	2.79971471	0.00574323725
15360.552000045776	2.79971471	0.00574497995
15367.238000154495	2.79971844	0.0057571789
15373.921000003815	2.79982659	0.005756598
15380.606000185013	2.79985642	0.00575020807
15387.289000034332	2.79993101	0.00575892161
15393.976000070572	2.79991609	0.005780415
15400.66000008583	2.79997949	0.005756598
15407.34500002861	2.79999067	0.00573568552
15414.029000043869	2.80007272	0.00571767754
15420.715000152588	2.80009882	0.00577751048
15427.399000167847	2.80011374	0.00571767754
15434.084000110626	2.80017341	0.00575136988
15440.767000198364	2.80024426	0.00576182612
15447.456000089645	2.80022935	0.00578738582
15454.141000032425	2.80028528	0.00577170146
15460.824000120163	2.80032631	0.00576298793
15467.508000135422	2.80040462	0.00576879695
15474.19200015068	2.80044191	0.00574556086
15480.87700009346	2.80048293	0.00576298793
15487.563000202179	2.80048293	0.00573045739
15494.247000217438	2.80056125	0.00577112056
15500.933000087738	2.80057617	0.00577460597
15507.617000102997	2.80059108	0.00575195078
15514.301000118256	2.80063583	0.00571419213
15520.985000133514	2.80063583	0.00574904627
15527.672000169754	2.80068059	0.00573452371
15534.355000019073	2.80070669	0.00575195078
15541.041000127792	2.80079992	0.00575950251
15547.725000143051	2.80081111	0.00574091364
15554.41000008583	2.80078127	0.00576066432
15561.09500002861	2.80083348	0.00574846537
15567.779000043869	2.80088196	0.00571128762
